id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
21612,Sarees,10,8,12,9,0,8,3,4,10,5,3
11707,Sarees,10,8,14,9,0,8,3,4,10,6,3
33578,Women Tshirts,8,2,8,2,10,3,2,0,3,7,4
57463,Women Tops & Tunics,10,8,6,6,13,0,6,4,3,7,4
33894,Women Tshirts,8,0,1,8,10,4,0,6,3,7,4
1194,Men Tshirts,5,2,6,7,2,5,3,4,3,7,4
67814,Women Tops & Tunics,10,6,8,8,2,7,4,4,6,7,4
10961,Sarees,10,15,2,6,2,14,3,7,10,3,3
25683,Sarees,10,2,14,9,2,8,3,7,10,5,3
27880,Kurtis,9,4,0,1,1,7,0,1,5,10,4
33886,Women Tshirts,8,0,8,4,10,3,0,6,3,7,4
15737,Sarees,10,15,13,0,5,8,1,10,10,7,3
25798,Kurtis,9,7,11,3,1,2,0,1,8,10,4
53848,Women Tops & Tunics,10,8,8,6,11,7,6,8,3,9,4
35216,Women Tshirts,8,11,6,2,10,9,2,6,3,7,4
2950,Men Tshirts,5,0,6,10,12,5,3,4,3,7,4
11297,Sarees,10,15,14,9,0,8,1,10,10,8,3
28718,Kurtis,9,11,6,6,1,7,0,1,5,10,4
29945,Kurtis,9,0,6,6,1,7,0,1,8,10,4
22680,Sarees,10,14,13,9,2,12,3,7,10,5,3
52489,Women Tops & Tunics,10,13,6,8,7,0,6,8,2,7,2
69812,Women Tops & Tunics,10,1,6,6,7,7,6,8,3,7,2
14989,Sarees,10,8,13,0,2,8,3,4,1,3,3
67181,Women Tops & Tunics,10,1,8,8,17,0,6,8,5,9,4
40965,Women Tshirts,8,0,8,2,10,4,5,6,3,7,4
52252,Women Tops & Tunics,10,11,3,6,7,0,3,4,5,7,4
46165,Women Tshirts,8,18,8,8,10,13,5,6,3,7,4
61407,Women Tops & Tunics,10,8,6,6,7,0,3,4,3,9,4
790,Men Tshirts,5,17,9,7,16,10,3,4,3,7,4
10632,Sarees,10,8,6,6,2,7,1,4,3,7,4
17870,Sarees,10,8,14,9,0,8,3,4,10,8,3
7648,Sarees,10,8,6,6,7,7,3,4,3,8,4
38957,Women Tshirts,8,8,6,6,7,3,2,6,3,7,4
54325,Women Tops & Tunics,10,2,8,2,11,7,3,3,5,7,0
6467,Men Tshirts,5,8,6,6,2,7,3,4,3,7,4
68082,Women Tops & Tunics,10,8,3,2,17,7,6,8,2,7,4
44428,Women Tshirts,8,8,8,6,10,3,3,6,3,7,4
19619,Sarees,10,8,14,9,0,12,3,4,10,6,3
68042,Women Tops & Tunics,10,1,8,8,11,0,0,1,5,11,4
